conferenceID,conferenceRef,name,year,edition,conProIds,proceedingTitle
c169,193081.0,"2022 International Conference on Innovations in Science, Hybrid Materials, and Vibration Analysis, IC-ISHVA 2022",2022.0,1.0,cp169,proceeding169
c170,196183.0,"8th International Conference on Cyber Security and Information Engineering, ICCSIE 2023",2023.0,1.0,cp170,proceeding170
c171,196102.0,"5th World Symposium on Software Engineering, WSSE 2023",2023.0,1.0,cp171,proceeding171
c172,193067.0,"37th Brazilian Symposium on Software Engineering, SBES 2023, held in conjunction with the Brazilian Conference on Software: Theory and Practice, CBSoft 2023",2023.0,1.0,cp172,proceeding172
c173,196562.0,"15th International Conference on Education Technology and Computers, ICETC 2023",2023.0,1.0,cp173,proceeding173
c174,196563.0,"2023 International Conference on Power, Communication, Computing and Networking Technologies, PCCNT 2023",2023.0,1.0,cp174,proceeding174
c175,196185.0,"9th International Conference on Industrial and Business Engineering, ICIBE 2023",2023.0,1.0,cp175,proceeding175
c176,193912.0,"16th International Symposium on Visual Information Communication and Interaction, VINCI 2023",2023.0,1.0,cp176,proceeding176
c177,196086.0,"2023 ACM Recommender Systems Challenge Workshop, RecSysChallenge 2023, held at 17th ACM Conference on Recommender Systems, ACM RecSys 2023",2023.0,1.0,cp177,proceeding177
c178,193622.0,"2nd International Conference on New Materials, Machinery, and Vehicle Engineering, NMMVE 2023",2023.0,1.0,cp178,proceeding178
c179,192852.0,"15th Biannual Conference of the Italian SIGCHI Chapter: Crossing HCI and AI, CHItaly 2023",2023.0,1.0,cp179,proceeding179
c180,192741.0,"2022 International Conference on Advanced Technologies in Chemical, Construction and Mechanical Sciences, iCATCHCOME 2022",2022.0,1.0,cp180,proceeding180
c181,192884.0,"17th ACM Conference on Recommender Systems, RecSys 2023",2023.0,1.0,cp181,proceeding181
c182,192630.0,ACM SIGCOMM 2023 Conference,2023.0,1.0,cp182,proceeding182
c183,191924.0,"1st Workshop on eBPF and Kernel Extensions, eBPF 2023",2023.0,1.0,cp183,proceeding183
c184,192885.0,"2023 Workshop on Emerging Multimedia Systems, EMS 2023",2023.0,1.0,cp184,proceeding184
c185,192254.0,"31st Annual European Symposium on Algorithms, ESA 2023",2023.0,1.0,cp185,proceeding185
c186,192255.0,"26th International Conference on Approximation Algorithms for Combinatorial Optimization Problems, APPROX 2023 and the 27th International Conference on Randomization and Computation, RANDOM 2023",2023.0,1.0,cp186,proceeding186
c187,192172.0,"27th ACM International Systems and Software Product Line Conference, SPLC 2023",2023.0,1.0,cp187,proceeding187
c188,191642.0,"18th International Conference on Availability, Reliability and Security, ARES 2023",2023.0,1.0,cp188,proceeding188
c189,195624.0,"2023 International Conference on Computer, Vision and Intelligent Technology, ICCVIT 2023",2023.0,1.0,cp189,proceeding189
c190,193270.0,"2023 4th International Conference on Control, Robotics and Intelligent System, CCRIS 2023",2023.0,1.0,cp190,proceeding190
c191,192092.0,"14th ACM SIGOPS Asia-Pacific Workshop on Systems, APSys 2023",2023.0,1.0,cp191,proceeding191
c192,191741.0,"8th International Conference on Debris Flow Hazard Mitigation, DFHM 2023",2023.0,1.0,cp192,proceeding192
c193,191742.0,"3rd International Conference on Oil and Gas Engineering and Geological Sciences, OGEGS 2023",2023.0,1.0,cp193,proceeding193
c194,191432.0,"29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining, KDD 2023",2023.0,1.0,cp194,proceeding194
c195,194962.0,"52nd International Conference on Parallel Processing, ICPP 2023",2023.0,1.0,cp195,proceeding195
c196,191434.0,"5th International Conference on Applied Category Theory, ACT 2022",2022.0,1.0,cp196,proceeding196
c197,192763.0,"52nd International Conference on Parallel Processing, ICPP 2023 - Workshops Proceedings",2023.0,1.0,cp197,proceeding197
c198,193227.0,"15th International Conference on Contemporary Computing, IC3 2023",2023.0,1.0,cp198,proceeding198
c199,193305.0,"14th Asia-Pacific Symposium on Internetware, Internetware 2023",2023.0,1.0,cp199,proceeding199
c200,192234.0,"2023 International Conference on Neuromorphic Systems, ICONS 2023",2023.0,1.0,cp200,proceeding200
c201,191942.0,"48th International Symposium on Mathematical Foundations of Computer Science, MFCS 2023",2023.0,1.0,cp201,proceeding201
c202,191604.0,"4th International Computer Programming Education Conference, ICPEC 2023",2023.0,1.0,cp202,proceeding202
c203,192882.0,"2023 ACM Turing Award Celebration Conference, CHINA 2023",2023.0,1.0,cp203,proceeding203
c204,191170.0,"9th International Conference on Energy Materials and Environment Engineering, ICEMEE 2023",2023.0,1.0,cp204,proceeding204
c205,192096.0,"10th International Conference on Industrial Engineering and Applications, ICIEA 2023",2023.0,1.0,cp205,proceeding205
